YYYY;MM;DD;qobs;ckhs;qceq;qcol
2012;1;17;2.096;1;0;0
2012;1;18;2.024;1;0;0
2012;1;19;3.077;1;0;0
2012;1;20;11.056;1;0;0
2012;1;21;6.388;1;0;0
2012;1;22;10.03;1;0;0
2012;1;23;7.637;1;0;0
2012;1;24;5.725;1;0;0
2012;1;25;4.461;1;0;0
2012;1;26;3.784;1;0;0
2012;1;27;3.381;1;0;0
2012;1;28;3.185;1;0;0
2012;1;29;2.885;1;0;0
2012;1;30;2.649;1;0;0
2012;1;31;2.299;1;0;0
2012;2;1;2.072;1;0;0
2012;2;2;1.978;1;0;0
2012;2;3;1.94;1;0;0
2012;2;4;1.742;1;0;0
2012;2;5;1.631;1;0;0
2012;2;6;1.619;1;0;0
2012;2;7;1.778;1;0;0
2012;2;8;1.661;1;0;0
2012;2;9;1.641;1;0;0
2012;2;10;1.609;1;0;0
2012;2;11;1.582;1;0;0
2012;2;12;1.437;1;0;0
2012;2;13;1.46;1;0;0
2012;2;14;1.42;1;0;0
2012;2;15;1.485;1;0;0
2012;2;16;1.447;1;0;0
2012;2;17;1.338;1;0;0
2012;2;18;1.211;1;0;0
2012;2;19;1.259;1;0;0
2012;2;20;1.143;1;0;0
2012;2;21;1.069;1;0;0
2012;2;22;0.99;1;0;0
2012;2;23;0.913;1;0;0
2012;2;24;1.101;1;0;0
2012;2;25;2.621;1;0;0
2012;2;26;4.419;1;0;0
2012;2;27;3.141;1;0;0
2012;2;28;2.49;1;0;0
2012;2;29;2.68;1;0;0
2012;3;1;4.804;1;0;0
2012;3;2;7.804;1;0;0
2012;3;3;9.313;1;0;0
2012;3;4;8.913;1;0;0
2012;3;5;8.039;1;0;0
2012;3;6;6.044;1;0;0
2012;3;7;5.048;1;0;0
2012;3;8;4.801;1;0;0
2012;3;9;4.279;1;0;0
2012;3;10;3.791;1;0;0
2012;3;11;3.69;1;0;0
2012;3;12;3.753;1;0;0
2012;3;13;4.614;1;0;0
2012;3;14;5.822;1;0;0
2012;3;15;6.914;1;0;0
2012;3;16;8.221;1;0;0
2012;3;17;9.417;1;0;0
2012;3;18;10.604;1;0;0
2012;3;19;10.079;1;0;0
2012;3;20;7.329;1;0;0
2012;3;21;7.236;1;0;0
2012;3;22;9.145;1;0;0
2012;3;23;10.464;1;0;0
2012;3;24;10.897;1;0;0
2012;3;25;11.331;1;0;0
