ID;q_mean;runoff_ratio;stream_elas;slope_fdc;baseflow_index_ladson;baseflow_index_lfstat;hfd_mean;Q5;Q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq
226;2.334;0.575;0.886;2.226;0.482;0.395;185;0.433;7.427;7.889;1.651;22.889;4.905;0
227;2.239;0.563;1.28;1.462;0.698;0.666;187.444;1.008;5.227;0.361;1.3;0;0;0
228;3.36;0.746;1.354;1.895;0.686;0.638;214.528;1.15;7.572;0.111;1.333;0;0;0
229;0.841;0.26;1.088;0.899;0.681;0.651;168.472;0.39;1.82;3.333;1.395;0;0;0
230;4.637;0.982;1.542;1.789;0.68;0.656;215.083;1.394;10.896;1.056;1.357;1.278;5.111;0
231;3.447;0.774;1.582;1.846;0.668;0.641;207.389;0.969;7.911;0.917;1.32;2;4.5;0
232;1.428;0.37;1.835;2.132;0.488;0.403;184.667;0.25;4.49;7.944;1.521;26.778;5.326;0
233;2.97;0.697;1.687;1.787;0.656;0.621;204.861;0.878;7.187;1.306;1.516;0.5;4.5;0
234;3.269;0.743;1.107;1.755;0.7;0.66;213;1.187;7.149;0.167;1.5;0;0;0
235;0.93;0.279;0.545;0.941;0.769;0.749;176.639;0.467;1.819;0.639;1.353;0;0;0
236;2.49;0.621;1.24;1.25;0.686;0.645;183.611;1.038;5.498;1.944;1.207;0.028;1;0
237;1.744;0.464;1.407;1.476;0.596;0.544;176.583;0.567;4.801;4.111;1.423;1.139;4.1;0
238;1.262;0.368;0.35;1.351;0.6;0.546;174.63;0.372;3.381;4.259;1.353;2.222;4.286;0
239;1.41;0.421;1.272;1.356;0.626;0.577;174;0.468;3.583;3.611;1.429;0.333;3;0
240;0.899;0.339;0.854;0.952;0.786;0.772;179.972;0.462;1.696;1.083;1.345;0;0;0
241;0.835;0.324;1.919;2.415;0.581;0.552;165.694;0.118;2.6;6.167;2.198;38.222;7.056;0
242;0.683;0.255;0.878;2.519;0.56;0.531;165;0.098;2.213;8.956;3.121;35.782;6.975;0
243;0.745;0.29;1.566;2.277;0.582;0.55;165.722;0.129;2.301;6.889;2.505;26.944;6.139;0
244;2.516;0.613;1.466;2.54;0.692;0.699;238.611;0.584;6.769;0.194;1.167;7.835;11.28;0
245;4.524;1.129;1.105;1.141;0.83;0.867;222.861;2.369;8.84;0.083;1;0;0;0
246;2.259;0.55;1.531;2.323;0.647;0.663;230.643;0.488;6.741;2.286;1.778;14.643;20.5;0
247;3.813;0.98;1.175;2.963;0.678;0.699;247.611;0.737;11.083;0.778;1.333;21.111;11.515;0
248;2.87;0.693;0.891;1.812;0.768;0.791;232;1.059;6.595;0.056;1;0.028;1;0
249;2.83;0.656;1.609;1.814;0.735;0.705;230.6;0.941;6.516;0;0;0;0;0
250;1.159;0.287;0.454;1.515;0.686;0.698;223.361;0.413;2.94;3.556;2.327;0.722;4.333;0
