ID;start_ID;end_ID
714;RL35041386;RL35116851
715;RL35054044;RL35057009
716;RL35054044;RL35056844
717;RL35054044;RL35056734
718;RL35054044;RL35055022
719;RL35057843;RL35114030
720;RL35114728;RL35115285
721;RL35050328;RL35057441
722;RL35050328;RL35114257
723;RL35050328;RL35056456
724;RL35055327;RL35056911
725;RL35055327;RL35056717
726;RL35056232;RL35056718
728;RL35046483;RL35114838
729;RL35053196;RL35055071
730;RL35050583;RL35055416
731;RL35056978;RL35056951
732;RL35115887;RL35116018
733;RL35115887;RL35116182
734;RL35126897;RL35126231
735;RL35114198;RL35057202
736;RL35114198;RL35057363
737;RL35114198;RL35114062
738;RL35114198;RL35115023
739;RL35150891;RL35115026
740;RL35057732;RL35057732
741;RL35055145;RL35057070
742;RL35116625;RL35116690
743;RL35115550;RL35115104
744;RL35114198;RL35057876
746;RL35057310;RL35057914
747;RL35150891;RL35057918
748;RL35057864;RL35057610
749;RL35114198;RL35057409
750;RL35115550;RL35115412
751;RL35150885;RL35114943
752;RL35114249;RL35114148
753;RL35056921;RL35056695
754;RL35117483;RL35117429
755;RL35115203;RL35114360
756;RL35116625;RL35116376
757;RL35115550;RL35114232
758;RL35116625;RL35116690
759;RL35114198;RL35057607
760;RL35114385;RL35057791
761;RL35057310;RL35115094
762;RL35057905;RL35114944
763;RL35057628;RL35114231
764;RL35057047;RL35057670
766;RL35114537;RL35114234
767;RL35057047;RL35113955
768;RL35057310;RL35114491
769;RL35057905;RL35114944
770;RL35114640;RL35114709
771;RL35113917;RL35113917
772;RL35150888;RL35149605
773;RL35150891;RL35057478
774;RL35057329;RL35057329
776;RL35056910;RL35057547
777;RL35055390;RL35055728
778;RL35056667;RL35057783
779;RL35057312;RL35057312
780;RL35114198;RL35057350
782;RL35057810;RL35057482
783;RL35055145;RL35056758
784;RL35115196;RL35115597
785;RL35055145;RL35055895
786;RL35116257;RL35115822
787;RL35115748;RL35114963
788;RL35057885;RL35114511
789;RL35116257;RL35115734
790;RL35118524;RL35118080
791;RL35116044;RL35115507
792;RL35114385;RL35114025
793;RL35057312;RL35057723
795;RL35117495;RL35116893
796;RL35057738;RL35114073
797;RL26003882;RL26003882
798;RL26003499;RL26004598
799;RL26003486;RL26004599
800;RL26043352;RL26003357
801;RL26004154;RL26004726
802;RL26004154;RL26004438
803;RL26004154;RL26003899
804;RL26003292;RL26003892
805;RL26004154;RL26004209
806;RL26003499;RL26005006
807;RL26004487;RL26005135
808;RL26004922;RL26005831
809;RL26006344;RL26007142
810;RL26006892;RL26007412
811;RL26007430;RL26008132
812;RL35041386;RL35041563
813;RL35041509;RL35041570
814;RL35041395;RL35041569
815;RL35041541;RL35041749
816;RL35041386;RL35041897
817;RL35041448;RL35041881
818;RL35042143;RL35042012
819;RL35150897;RL35042220
820;RL35041386;RL35042865
821;RL35041386;RL35043726
822;RL35133343;RL35133225
823;RL35133350;RL35133239
824;RL35133343;RL35133184
825;RL35133216;RL35133133
826;RL35133120;RL35133009
827;RL35133343;RL35132905
828;RL35132700;RL35132859
829;RL35133343;RL35132482
