ID;NB;NSE;KGE;CORR;MSE;pBIAS;MSIM;MOBS;fewobs
646;327;0.4772;0.5919;0.6937;0.6811;2.9;1.999;1.9418;0
649;328;0.3657;0.4933;0.6208;2.3719;8.5;3.2081;2.9577;0
650;329;0.2093;0.4353;0.5174;2.4694;6.3;4.2003;3.9509;0
651;330;0.6846;0.5141;0.8543;6.5466;44.4;3.1503;2.1823;0
654;331;0.6941;0.6792;0.8541;3.4072;26.8;2.8825;2.2741;0
655;332;0.4966;0.7261;0.742;1.2491;6.4;3.3986;3.1938;0
661;333;0.7893;0.8104;0.8897;2.5984;-2.6;2.8473;2.9247;0
662;334;0.7446;0.7885;0.8688;13.9203;11;7.5251;6.7794;0
663;335;0.7815;0.8246;0.8857;3.3633;4.8;4.6109;4.3979;0
665;336;0.7353;0.8089;0.8632;2.7101;7.6;4.3089;4.005;0
670;337;0.7008;0.7511;0.8384;10.9386;-3;7.6712;7.9072;0
672;338;0.7081;0.774;0.8425;3.1887;3;4.5793;4.4441;0
673;339;0.6524;0.7181;0.8188;5.1267;15.9;3.625;3.1265;0
674;340;0.4169;0.5216;0.6614;2.286;11.6;2.6941;2.4137;0
687;341;0.7608;0.8143;0.8811;2.1828;9.4;4.3605;3.9863;0
692;342;0.5948;0.6557;0.7726;4.6336;3.3;3.8194;3.6989;0
695;343;0.514;0.6596;0.7326;1.7306;9.5;2.8045;2.5621;0
696;344;;;;;;;;1
697;345;0.6362;0.7514;0.8028;1.1589;2.8;5.1204;4.9825;0
698;346;0.3608;0.5278;0.628;5.0085;13;3.5384;3.1323;0
699;347;0.5281;0.5956;0.7551;1.4071;22.3;1.9376;1.5844;0
703;348;0.4335;0.4723;0.7106;9.5376;37.8;3.8975;2.8294;0
704;349;0.4861;0.2066;0.798;1.8334;73.2;1.73;0.9986;0
705;350;;;;;;;;1
706;351;0.7427;0.7954;0.8623;4.0039;3.3;3.2912;3.1854;0
707;352;0.7078;0.7859;0.8415;15.6716;-0.5;7.3839;7.4242;0
709;353;0.6869;0.7329;0.8298;16.4456;-2;8.1468;8.3163;0
718;354;0.6151;0.7066;0.7846;5.6931;1.4;4.2078;4.1501;0
719;355;0.5878;0.6465;0.7831;6.3005;15.7;4.5846;3.9642;0
720;356;0.4434;0.6181;0.6998;25.0154;17.5;7.2825;6.198;0
725;357;0.6922;0.7501;0.8322;13.7244;1;7.9873;7.9077;0
726;358;0.6983;0.7652;0.8395;2.939;8.4;3.2337;2.9841;0
729;359;0.7046;0.7839;0.8446;44.9422;6.9;17.3471;16.2309;0
