ID;area_calc;elev_mean;elev_med;elev_std;elev_ran;slope_mean;mvert_dist;mvert_ang;elon_ratio;strm_dens;p_mean;et0_mean;eta_mean;arid_1;arid_2;p_season;frac_snow;hi_prec_fr;hi_prec_du;hi_prec_ti;lo_prec_fr;lo_prec_du;lo_prec_ti;lc_dom;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;lai_max;lai_diff;ndvi_max;ndvi_min;gvf_max;gvf_diff;bedrk_dep;root_dep;soil_poros;soil_condu;soil_tawc;sand_fra;silt_fra;clay_fra;grav_fra;oc_fra;gc_dom;gc_ig_fra;gc_mt_fra;gc_pa_fra;gc_pb_fra;gc_pi_fra;gc_py_fra;gc_sc_fra;gc_sm_fra;gc_ss_fra;gc_su_fra;gc_va_fra;gc_vb_fra;gc_wb_fra;geol_perme;geol_poros;NEXTDOWNID
298;98.285;706;681;155;909;260;10.6;285;1.057;0.7;3.75;2.28;1.63;0.61;0.89;0.31;0.17;11.8;1.24;jja;179;2.92;djf;312;0.313;0;0.668;0;0;0.018;4.71;4.39;0.8;0.23;0.9;0.73;0.74;0.52;0.49;0.096;0.08;0.348;0.427;0.224;0.122;0.017;sc;0;0.094;0;0;0;0;0.906;0;0;0;0;0;0;-11.8;0.055;300
299;156.556;436;388;107;643;95;14.5;64;0.972;0.64;3.17;2.31;1.61;0.73;1.06;0.28;0.11;12.25;1.21;jja;188.5;3.07;djf;211;0.782;0;0.185;0;0;0.033;3.17;2.83;0.74;0.21;0.9;0.73;8.95;0.74;0.48;0.236;0.11;0.419;0.336;0.245;0.076;0.008;sm;0;0;0;0;0;0;0.027;0.973;0;0;0;0;0;-13.4;0.187;300
300;355.046;468;426;154;838;137;27.3;16;0.778;0.62;3.26;2.32;1.63;0.71;1.06;0.28;0.12;12.1;1.23;jja;187.15;3.06;djf;231;0.617;0;0.294;0;0;0.084;3.35;3.02;0.74;0.21;0.89;0.74;5.93;0.68;0.48;0.214;0.11;0.382;0.374;0.244;0.088;0.011;sm;0;0.038;0;0;0;0;0.315;0.648;0;0;0;0;0;-12.3;0.142;0
302;35.825;1035;969;207;1227;289;9;86;0.751;0.6;4;2.24;1.63;0.56;0.68;0.35;0.22;10.65;1.25;jja;166.65;2.77;djf;312;0.011;0.068;0.855;0;0;0;3.47;3.17;0.72;0.2;0.8;0.67;0.84;0.35;0.49;0.063;0.06;0.352;0.424;0.225;0.128;0.02;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;0
303;22.944;1013;994;119;575;215;6.9;268;0.782;0.45;3.84;2.3;1.67;0.6;0.71;0.37;0.19;11.5;1.22;jja;174.25;2.8;djf;312;0.136;0;0.792;0;0;0.042;4.33;4.02;0.76;0.19;0.85;0.72;0.81;0.32;0.49;0.076;0.05;0.328;0.403;0.27;0.12;0.018;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;0
305;51.364;734;724;174;896;273;9;41;0.901;0.51;3.84;2.3;1.63;0.6;0.86;0.33;0.18;11.5;1.26;jja;175.9;2.84;djf;312;0.222;0;0.735;0;0;0.031;4.88;4.55;0.8;0.23;0.88;0.71;0.72;0.38;0.5;0.117;0.07;0.343;0.416;0.241;0.111;0.019;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;0
306;32.39;685;681;147;773;291;7.1;300;0.899;0.72;3.7;2.3;1.62;0.62;0.87;0.33;0.17;11.6;1.24;jja;177.15;2.83;djf;313;0.216;0;0.758;0;0;0.02;4.98;4.67;0.81;0.24;0.89;0.71;0.59;0.4;0.49;0.136;0.07;0.352;0.425;0.223;0.124;0.019;sc;0;0;0;0;0;0;0.981;0.019;0;0;0;0;0;-11.8;0.063;0
308;17.946;607;617;83;440;188;6.3;69;0.76;0.58;3.37;2.29;1.62;0.68;0.97;0.29;0.14;11.9;1.24;jja;184.25;3.01;djf;231;0.546;0;0.443;0;0;0.011;4.66;4.34;0.81;0.19;0.92;0.79;1.85;0.32;0.47;0.115;0.06;0.409;0.388;0.202;0.065;0.013;sm;0;0.009;0;0;0;0;0;0.991;0;0;0;0;0;-15;0.188;309
309;108.057;566;546;136;785;206;15.7;355;0.746;0.55;3.51;2.3;1.63;0.66;0.98;0.31;0.14;11.8;1.23;jja;180.45;2.93;djf;231;0.54;0;0.414;0;0;0.046;4.47;4.16;0.79;0.2;0.92;0.78;1.03;0.38;0.48;0.145;0.07;0.384;0.382;0.234;0.079;0.014;sm;0;0;0;0;0;0;0.478;0.522;0;0;0;0;0;-12.1;0.128;310
310;42.344;323;304;61;426;63;13.5;43;0.543;0.73;2.97;2.37;1.65;0.8;1.24;0.28;0.09;12.3;1.21;jja;189.9;3.07;djf;211;0.696;0;0.204;0;0;0.087;2.86;2.49;0.72;0.21;0.86;0.69;10.85;0.85;0.48;0.253;0.13;0.406;0.338;0.255;0.065;0.006;sm;0;0.03;0;0;0;0;0;0.97;0;0;0;0;0;-15;0.184;0
